Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
AUC,Ds005602,right,PointNet,ResNet,0.9504,0.9541,0.0008135875058059328,Yes (p<0.01)
AUC,Ds005602,right,PointNet,SqueezeNet,0.9504,0.9631,1.577775103234186e-40,Yes (p<0.01)
AUC,Ds005602,right,PointNet,SVM,0.9504,0.9752,2.121606624003522e-161,Yes (p<0.01)
AUC,Ds005602,right,ResNet+AE,ResNet,0.9468,0.9541,6.907266781775187e-66,Yes (p<0.01)
AUC,Ds005602,right,ResNet+AE,SqueezeNet,0.9468,0.9631,1.1182036525739476e-155,Yes (p<0.01)
AUC,Ds005602,right,ResNet+AE,SVM,0.9468,0.9752,1.0297281691277678e-185,Yes (p<0.01)
AUC,Ds005602,right,ResNet,SqueezeNet,0.9541,0.9631,3.830589236429988e-61,Yes (p<0.01)
AUC,Ds005602,right,ResNet,SVM,0.9541,0.9752,1.2518263441741536e-162,Yes (p<0.01)
AUC,Ds005602,right,SqueezeNet,SVM,0.9631,0.9752,2.5280346405872114e-141,Yes (p<0.01)
AUC,Ds004469,left,MLP,MobileNet,0.4966,0.4183,7.355748952675326e-43,Yes (p<0.01)
AUC,Ds004469,left,MLP,PointNet,0.4966,0.3354,6.326962195778029e-113,Yes (p<0.01)
AUC,Ds004469,left,MLP,ResNet+AE,0.4966,0.5402,8.705916578402982e-80,Yes (p<0.01)
AUC,Ds004469,left,MLP,ResNet,0.4966,0.3779,6.66576126064572e-79,Yes (p<0.01)
AUC,Ds004469,left,MLP,SqueezeNet,0.4966,0.5841,8.86523430972049e-125,Yes (p<0.01)
AUC,Ds004469,left,MLP,SVM,0.4966,0.4981,0.6690784698172668,No
AUC,Ds004469,left,MobileNet,PointNet,0.4183,0.3354,7.790340729485908e-40,Yes (p<0.01)
AUC,Ds004469,left,MobileNet,ResNet+AE,0.4183,0.5402,6.70123583186137e-94,Yes (p<0.01)
AUC,Ds004469,left,MobileNet,ResNet,0.4183,0.3779,1.671715784194501e-34,Yes (p<0.01)
AUC,Ds004469,left,MobileNet,SqueezeNet,0.4183,0.5841,8.313176882358327e-203,Yes (p<0.01)
AUC,Ds004469,left,MobileNet,SVM,0.4183,0.4981,1.7830716584990687e-71,Yes (p<0.01)
AUC,Ds004469,left,PointNet,ResNet+AE,0.3354,0.5402,2.326908601002725e-141,Yes (p<0.01)
AUC,Ds004469,left,PointNet,ResNet,0.3354,0.3779,1.626089224903948e-13,Yes (p<0.01)
AUC,Ds004469,left,PointNet,SqueezeNet,0.3354,0.5841,8.59363840112262e-232,Yes (p<0.01)
AUC,Ds004469,left,PointNet,SVM,0.3354,0.4981,1.1524172585188909e-179,Yes (p<0.01)
AUC,Ds004469,left,ResNet+AE,ResNet,0.5402,0.3779,1.7144926488441833e-126,Yes (p<0.01)
AUC,Ds004469,left,ResNet+AE,SqueezeNet,0.5402,0.5841,5.888708647553245e-71,Yes (p<0.01)
AUC,Ds004469,left,ResNet+AE,SVM,0.5402,0.4981,2.284412241897033e-28,Yes (p<0.01)
AUC,Ds004469,left,ResNet,SqueezeNet,0.3779,0.5841,2.4865263254946455e-236,Yes (p<0.01)
AUC,Ds004469,left,ResNet,SVM,0.3779,0.4981,4.1727062901721644e-164,Yes (p<0.01)
AUC,Ds004469,left,SqueezeNet,SVM,0.5841,0.4981,5.361869979745322e-158,Yes (p<0.01)
AUC,Ds004469,right,MLP,MobileNet,0.182,0.7586,5.363766987988086e-217,Yes (p<0.01)
AUC,Ds004469,right,MLP,PointNet,0.182,0.566,1.8278979392485205e-199,Yes (p<0.01)
AUC,Ds004469,right,MLP,ResNet+AE,0.182,0.5095,7.016129663855983e-190,Yes (p<0.01)
AUC,Ds004469,right,MLP,ResNet,0.182,0.2481,2.0538561386857141e-84,Yes (p<0.01)
AUC,Ds004469,right,MLP,SqueezeNet,0.182,0.5108,3.3932942000250087e-189,Yes (p<0.01)
AUC,Ds004469,right,MLP,SVM,0.182,0.182,1.0,No
AUC,Ds004469,right,MobileNet,PointNet,0.7586,0.566,5.905632757619111e-157,Yes (p<0.01)
AUC,Ds004469,right,MobileNet,ResNet+AE,0.7586,0.5095,3.5747083342592316e-173,Yes (p<0.01)
AUC,Ds004469,right,MobileNet,ResNet,0.7586,0.2481,3.7231461052583844e-211,Yes (p<0.01)
AUC,Ds004469,right,MobileNet,SqueezeNet,0.7586,0.5108,2.8027259020058215e-172,Yes (p<0.01)
AUC,Ds004469,right,MobileNet,SVM,0.7586,0.182,5.363766987988086e-217,Yes (p<0.01)
AUC,Ds004469,right,PointNet,ResNet+AE,0.566,0.5095,1.9164012588029108e-34,Yes (p<0.01)
AUC,Ds004469,right,PointNet,ResNet,0.566,0.2481,3.543084361651405e-190,Yes (p<0.01)
AUC,Ds004469,right,PointNet,SqueezeNet,0.566,0.5108,8.97076073106732e-21,Yes (p<0.01)
AUC,Ds004469,right,PointNet,SVM,0.566,0.182,1.8278979392485205e-199,Yes (p<0.01)
AUC,Ds004469,right,ResNet+AE,ResNet,0.5095,0.2481,3.066413925437913e-178,Yes (p<0.01)
AUC,Ds004469,right,ResNet+AE,SqueezeNet,0.5095,0.5108,0.7169913161872257,No
AUC,Ds004469,right,ResNet+AE,SVM,0.5095,0.182,7.016129663855983e-190,Yes (p<0.01)
AUC,Ds004469,right,ResNet,SqueezeNet,0.2481,0.5108,2.0856233598749054e-175,Yes (p<0.01)
AUC,Ds004469,right,ResNet,SVM,0.2481,0.182,2.0538561386857141e-84,Yes (p<0.01)
